data	prop
2003-01-05	0.00164
2003-01-12	0.00161
2003-01-19	0.00163
2003-01-26	0.00143
2003-02-02	0.0014
2003-02-09	0.00191
2003-02-16	0.00155
2003-02-23	0.00187
2003-03-02	0.00159
2003-03-09	0.00196
2003-03-16	0.0018
2003-03-23	0.00226
2003-03-30	0.00247
2003-04-06	0.0031
2003-04-13	0.00265
2003-04-20	0.00284
2003-04-27	0.0022
2003-05-04	0.00301
2003-05-11	0.00314
2003-05-18	0.0036
2003-05-25	0.00368
2003-06-01	0.00465
2003-06-08	0.00426
2003-06-15	0.00318
2003-06-22	0.00293
2003-06-29	0.00229
2003-07-06	0.00231
2003-07-13	0.00267
2003-07-20	0.00242
2003-07-27	0.00195
2003-08-03	0.00254
2003-08-10	0.00224
2003-08-17	0.00259
2003-08-24	0.0021
2003-08-31	0.00228
2003-09-07	0.00236
2003-09-14	0.00206
2003-09-21	0.0026
2003-09-28	0.00227
2003-10-05	0.00196
2003-10-12	0.00207
2003-10-19	0.00246
2003-10-26	0.00246
2003-11-02	0.00254
2003-11-09	0.00202
2003-11-16	0.00228
2003-11-23	0.00194
2003-11-30	0.00155
2003-12-07	0.0016
2003-12-14	0.00134
2003-12-21	0.00132
2003-12-28	0.00142
2004-01-04	0.00134
2004-01-11	0.00151
2004-01-18	0.00137
2004-01-25	0.00155
2004-02-01	0.00135
2004-02-08	0.0018
2004-02-15	0.00178
2004-02-22	0.00192
2004-02-29	0.0022
2004-03-07	0.0026
2004-03-14	0.00231
2004-03-21	0.00269
2004-03-28	0.00259
2004-04-04	0.00226
2004-04-11	0.00231
2004-04-18	0.00249
2004-04-25	0.00279
2004-05-02	0.00274
2004-05-09	0.00321
2004-05-16	0.00343
2004-05-23	0.00389
2004-05-30	0.0035
2004-06-06	0.00349
2004-06-13	0.00344
2004-06-20	0.0037
2004-06-27	0.0031
2004-07-04	0.00262
2004-07-11	0.00255
2004-07-18	0.00226
2004-07-25	0.00271
2004-08-01	0.00253
2004-08-08	0.0026
2004-08-15	0.00301
2004-08-22	0.003
2004-08-29	0.00264
2004-09-05	0.00277
2004-09-12	0.00254
2004-09-19	0.00273
2004-09-26	0.00231
2004-10-03	0.00217
2004-10-10	0.00236
2004-10-17	0.0025
2004-10-24	0.00242
2004-10-31	0.00252
2004-11-07	0.00255
2004-11-14	0.00257
2004-11-21	0.00264
2004-11-28	0.00196
2004-12-05	0.00175
2004-12-12	0.00169
2004-12-19	0.0017
2004-12-26	0.00149
2005-01-02	0.00178
2005-01-09	0.00176
2005-01-16	0.00142
2005-01-23	0.00124
2005-01-30	0.00152
2005-02-06	0.00223
2005-02-13	0.00197
2005-02-20	0.0018
2005-02-27	0.0019
2005-03-06	0.00201
2005-03-13	0.00185
2005-03-20	0.00203
2005-03-27	0.0025
2005-04-03	0.00257
2005-04-10	0.0028
